Id,ActivityDate,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,01/05/2016,10602,33,35,246,730,1820
1624580081,01/05/2016,36019,186,63,171,1020,2690
1644430081,01/05/2016,6132,3,24,146,908,2696
1844505072,01/05/2016,2573,0,7,75,585,1541
1927972279,01/05/2016,2704,14,1,70,1355,2411
2022484408,01/05/2016,10538,25,28,245,1142,2380
2026352035,01/05/2016,3609,0,0,191,716,1447
2320127002,01/05/2016,772,0,0,40,1400,1403
2873212765,01/05/2016,7399,7,18,196,1219,1739
3372868164,01/05/2016,3077,0,0,172,842,1237
3977333714,01/05/2016,10414,41,40,124,691,1501
4020332650,01/05/2016,0,0,0,0,1440,1980
4319703577,01/05/2016,1251,0,0,67,836,1593
4388161847,01/05/2016,10255,12,15,241,579,2926
4445114986,01/05/2016,5232,0,0,240,741,2246
4558609924,01/05/2016,3428,0,0,190,1121,1692
4702921684,01/05/2016,0,0,0,0,1440,2017
5553957443,01/05/2016,5164,0,0,237,436,1747
5577150313,01/05/2016,13368,194,72,178,499,4546
6117666160,01/05/2016,8915,0,0,397,525,2361
6290855005,01/05/2016,9837,8,95,282,1055,3327
6775888955,01/05/2016,2487,9,34,50,1347,2319
6962181067,01/05/2016,5454,0,0,215,722,1740
7007744171,01/05/2016,5600,0,0,237,1142,2225
7086361926,01/05/2016,12390,30,15,258,685,2730
8053475328,01/05/2016,1170,0,0,51,1389,1886
8378563200,01/05/2016,11419,71,10,127,669,3369
8583815059,01/05/2016,4512,10,2,117,1311,2596
8792009665,01/05/2016,1619,0,0,79,834,1962
8877689391,01/05/2016,10930,36,12,166,1226,2786
1503960366,02/05/2016,14727,41,15,277,798,2004
1624580081,02/05/2016,7155,7,6,166,1261,1497
1644430081,02/05/2016,3758,1,7,148,682,2580
1844505072,02/05/2016,0,0,0,0,1440,1348
1927972279,02/05/2016,3790,16,8,94,1322,2505
2022484408,02/05/2016,10379,36,8,277,1119,2473
2026352035,02/05/2016,7018,0,0,355,716,1690
2320127002,02/05/2016,3634,5,6,123,1306,1613
2873212765,02/05/2016,7525,0,7,334,1099,1878
3977333714,02/05/2016,16520,24,143,176,713,1760
4020332650,02/05/2016,475,0,11,31,1350,2207
4319703577,02/05/2016,9261,0,11,344,585,2270
4388161847,02/05/2016,10096,33,4,204,935,3147
4445114986,02/05/2016,6910,27,4,200,667,2336
4558609924,02/05/2016,7891,0,0,383,1057,2066
4702921684,02/05/2016,7245,5,40,195,1131,2859
5553957443,02/05/2016,9769,23,9,227,724,1996
5577150313,02/05/2016,7439,37,20,235,732,3014
6117666160,02/05/2016,4933,0,0,236,1204,2044
6290855005,02/05/2016,6781,0,0,268,1172,2725
6775888955,02/05/2016,0,0,0,0,1440,1841
6962181067,02/05/2016,12912,18,39,313,655,2162
7007744171,02/05/2016,13041,64,14,250,1112,2642
7086361926,02/05/2016,10052,66,26,139,737,2754
8053475328,02/05/2016,1969,0,0,95,1345,1988
8378563200,02/05/2016,6064,63,4,142,802,3491
8583815059,02/05/2016,8469,0,0,0,1440,2894
8792009665,02/05/2016,1831,0,0,101,916,2015
8877689391,02/05/2016,4790,0,0,105,1335,2189
1503960366,03/05/2016,15103,50,24,254,816,1990
1624580081,03/05/2016,2100,0,0,96,1344,1334
1644430081,03/05/2016,12850,10,94,221,1115,3324
1844505072,03/05/2016,4059,0,0,184,1256,1742
1927972279,03/05/2016,1326,10,0,17,1413,2195
2022484408,03/05/2016,12183,72,14,250,1104,2752
2026352035,03/05/2016,5992,0,0,304,981,1604
2320127002,03/05/2016,7443,20,10,206,1204,1878
2873212765,03/05/2016,7412,1,6,363,1070,1906
3977333714,03/05/2016,14335,47,41,258,594,1710
4020332650,03/05/2016,4496,0,0,174,950,2828
4319703577,03/05/2016,9648,8,26,287,669,2235
4388161847,03/05/2016,12727,18,18,306,984,3290
4445114986,03/05/2016,7502,30,2,233,725,2421
4558609924,03/05/2016,5267,21,10,237,1172,1953
4702921684,03/05/2016,9454,0,0,313,729,3145
5553957443,03/05/2016,12848,26,29,247,812,2116
5577150313,03/05/2016,11045,97,8,212,580,3795
6117666160,03/05/2016,0,0,0,0,1440,1496
